"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM"	34	0.89692	0.72778	1	1.3435	0.05713	0.24151	8.3808	0.20124	0.39821	20	5.5042	0.54782	0.95237	14	6.4818	0.059061	0.2154
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	43	-13.029	1	1	13.029	1.3246e-12	4.9275e-11	13.373	0.00080112	0.0046565	7	2.1619	0.75066	0.99929	36	13.662	2.44e-06	3.2418e-05
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS"	10	1.3723	0.48234	0.99513	-1.3723	0.52015	0.97725	3.293	0.58456	0.81547	5	3.6469	0.32834	0.76755	5	1.01	0.77537	0.95509
"KEGG_LYSINE_DEGRADATION"	39	-6.0692	0.99995	1	6.0692	6.033e-05	0.00040719	9.6939	0.085474	0.2338	15	2.9048	0.86577	0.99929	24	10.061	0.0014577	0.0079804
"KEGG_ARGININE_AND_PROLINE_METABOLISM"	49	0.81842	0.76418	1	-0.81771	0.24428	0.65849	14.265	0.00046771	0.0033459	28	9.5708	0.059993	0.35631	21	10.738	9.63e-05	0.00071647
"KEGG_HISTIDINE_METABOLISM"	26	-6.4617	0.99992	1	6.4617	0.00012471	0.00074826	10.554	0.0052002	0.024801	9	4.1804	0.40671	0.81933	17	10.011	0.0004695	0.0029109
"KEGG_TYROSINE_METABOLISM"	35	-7.5207	0.99999	1	7.5207	1.2711e-05	9.8684e-05	12.783	0.00052206	0.0035232	13	4.7287	0.47401	0.88319	22	12.489	5.4463e-06	5.9589e-05
"KEGG_PHENYLALANINE_METABOLISM"	15	-3.3268	0.98388	1	3.3268	0.01788	0.089884	6.289	0.16354	0.3447	6	2.7728	0.56323	0.95237	9	5.855	0.048987	0.18983
"KEGG_TRYPTOPHAN_METABOLISM"	35	-12.56	1	1	12.56	6.2647e-11	1.6646e-09	12.426	0.0010389	0.0058554	7	0.91299	0.91214	0.99929	28	13.436	1.2428e-06	1.9263e-05
"KEGG_BETA_ALANINE_METABOLISM"	21	-11.146	1	1	11.146	3.226e-08	4.3223e-07	11.527	0.00028931	0.0022421	6	0.06456	0.94905	0.99929	15	13.598	8.6791e-09	2.7963e-07
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM"	9	1.5683	0.41828	0.89711	-1.5683	0.58427	1	5.4809	0.13726	0.31136	6	4.017	0.30181	0.766	3	3.8124	0.12213	0.37241
"KEGG_SELENOAMINO_ACID_METABOLISM"	25	1.8686	0.48687	0.99513	-1.8686	0.51672	0.97725	4.5455	0.76312	0.95997	15	3.8698	0.71714	0.99929	10	2.4475	0.67062	0.95104
"KEGG_GLUTATHIONE_METABOLISM"	44	3.2414	0.3625	0.82226	-3.1164	0.62113	1	8.9225	0.26226	0.48242	27	7.3321	0.33425	0.76755	17	5.1142	0.31737	0.62799
"KEGG_STARCH_AND_SUCROSE_METABOLISM"	35	-7.7748	0.99999	1	7.7748	7.6949e-06	7.3743e-05	13.489	0.00012008	0.0011235	13	4.8487	0.44741	0.84917	22	13.287	6.0336e-07	1.1222e-05
"KEGG_N_GLYCAN_BIOSYNTHESIS"	44	0.265	0.82892	1	-0.265	0.1785	0.53664	5.7855	0.86901	0.99993	22	4.2371	0.83362	0.99929	22	3.9449	0.68491	0.95104
"KEGG_OTHER_GLYCAN_DEGRADATION"	15	4.0171	0.10484	0.36792	-4.0171	0.89336	1	6.453	0.14239	0.31528	12	5.2608	0.30024	0.766	3	3.9077	0.11128	0.34496
"KEGG_O_GLYCAN_BIOSYNTHESIS"	22	4.9021	0.082073	0.30531	-4.9021	0.91847	1	7.2834	0.15744	0.33659	15	7.0148	0.123	0.5492	7	2.6436	0.50542	0.81746
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM"	42	-1.8402	0.97368	1	1.8402	0.030038	0.13303	7.3218	0.55329	0.79004	22	2.951	0.95362	0.99929	20	7.5152	0.034373	0.14531
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"	19	1.3562	0.5538	1	-1.3562	0.451	0.92183	5.6599	0.37823	0.63773	11	4.6559	0.40769	0.81933	8	3.2629	0.41692	0.74564
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE"	22	6.3737	0.020351	0.13053	-6.3737	0.97976	1	8.1803	0.065685	0.1941	16	7.9678	0.061301	0.35631	6	2.6527	0.45459	0.76174
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"	13	3.2971	0.18935	0.55903	-3.2971	0.81068	1	5.361	0.2641	0.48242	7	6.4297	0.050662	0.34392	6	0.94631	0.8095	0.96076
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE"	22	0.97087	0.6403	1	-0.97087	0.36231	0.84236	6.5613	0.27442	0.4908	11	5.152	0.30664	0.766	11	4.127	0.35356	0.67797
"KEGG_GLYCEROLIPID_METABOLISM"	36	-4.9282	0.99951	1	7.1056	1.2733e-05	9.8684e-05	13.452	0.00017337	0.0015356	16	6.4921	0.22634	0.68435	20	12.24	1.222e-06	1.9263e-05
"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	48	4.9662	0.14257	0.49108	-4.9662	0.85785	1	5.1745	0.94939	0.99993	31	5.7136	0.77826	0.99929	17	0.97939	0.97241	0.99741
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"	23	0.36788	0.72589	1	-0.36788	0.28142	0.71408	5.8494	0.44791	0.72444	12	4.085	0.54989	0.95237	11	4.1915	0.34022	0.66146
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"	61	1.1028	0.78321	1	-1.1028	0.22249	0.62701	8.6247	0.59089	0.81547	33	6.4781	0.66635	0.99929	28	5.6973	0.43361	0.75375
"KEGG_ETHER_LIPID_METABOLISM"	23	3.7043	0.19992	0.56925	-3.7043	0.80033	1	4.5866	0.72718	0.93279	16	4.4963	0.62611	0.99929	7	1.5163	0.74935	0.95407
"KEGG_ARACHIDONIC_ACID_METABOLISM"	49	2.3105	0.52177	1	-2.1921	0.46529	0.93058	11.696	0.028977	0.096704	25	9.7762	0.032934	0.24516	24	6.7339	0.15135	0.42922
"KEGG_LINOLEIC_ACID_METABOLISM"	22	-1.7048	0.93951	1	1.7048	0.061602	0.25462	7.6909	0.10862	0.26939	9	4.5607	0.32975	0.76755	13	6.2103	0.071774	0.25189
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM"	12	-0.54788	0.77793	1	0.54788	0.22993	0.63831	3.7819	0.55643	0.79004	6	2.0242	0.71475	0.99929	6	3.3243	0.30722	0.61444
"KEGG_SPHINGOLIPID_METABOLISM"	35	3.4075	0.27499	0.70066	-3.4075	0.72814	1	7.1901	0.43831	0.71514	22	6.5947	0.36785	0.78643	13	3.2188	0.60563	0.90117
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES"	21	5.6854	0.044032	0.21	-5.6841	0.95561	1	7.3104	0.13621	0.31136	15	6.9543	0.12992	0.5492	6	2.6808	0.44814	0.75776
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES"	13	5.8662	0.01987	0.13053	-5.8662	0.97947	1	5.3472	0.26663	0.48242	11	5.678	0.2137	0.68059	2	0.31676	0.74207	0.95407
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES"	14	2.9301	0.24173	0.64231	-2.9301	0.75851	1	5.1061	0.33668	0.57983	9	4.7923	0.28597	0.766	5	2.1146	0.54619	0.85371
"KEGG_PYRUVATE_METABOLISM"	37	-6.2651	0.99992	1	6.2651	9.3185e-05	0.00059767	13.113	0.00030645	0.00228	13	6.2584	0.1789	0.66533	24	11.675	4.418e-05	0.00035728
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM"	16	-1.1812	0.88952	1	1.1812	0.11438	0.40139	7.1877	0.074538	0.21329	9	3.5351	0.54426	0.95237	7	6.8584	0.0071461	0.034082
"KEGG_PROPANOATE_METABOLISM"	31	-8.0105	1	1	8.0105	8.3258e-06	7.3743e-05	10.469	0.015258	0.056759	11	1.9541	0.89385	0.99929	20	11.584	8.1301e-06	7.959e-05
"KEGG_BUTANOATE_METABOLISM"	31	-11.569	1	1	11.569	2.671e-09	4.14e-08	16.766	5.3193e-09	1.9788e-07	7	5.9883	0.080904	0.396	24	15.821	1.1088e-10	6.8745e-09
"KEGG_ONE_CARBON_POOL_BY_FOLATE"	17	-2.8596	0.97373	1	2.8596	0.029366	0.13303	11.048	0.00021768	0.0018404	9	5.327	0.19688	0.66582	8	10.454	5.0073e-06	5.821e-05
"KEGG_RIBOFLAVIN_METABOLISM"	14	-2.119	0.94009	1	2.119	0.065593	0.26522	4.9043	0.38058	0.63773	6	2.3203	0.65759	0.99929	8	4.4783	0.17856	0.45497
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM"	21	-2.9494	0.97503	1	2.9494	0.025931	0.12058	9.1544	0.016891	0.059279	10	4.4118	0.41847	0.81933	11	8.4421	0.0026129	0.0135
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"	16	-6.2707	0.99982	1	6.2707	0.00020612	0.0011618	9.7147	0.0021417	0.010767	4	4.0793	0.22918	0.68435	12	8.8624	0.0014588	0.0079804
"KEGG_FOLATE_BIOSYNTHESIS"	8	-3.7062	0.98179	1	3.7062	0.019365	0.094785	3.3274	0.46769	0.74372	1	0.96214	0.56219	0.95237	7	3.1935	0.3791	0.71417
"KEGG_RETINOL_METABOLISM"	49	-15.801	1	1	17.667	0	0	19.258	6.9814e-10	4.3285e-08	10	4.4317	0.41388	0.81933	39	19.342	2.82e-14	5.2451e-12
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM"	31	-7.2151	0.99998	1	7.2151	3.6924e-05	0.00026415	11.782	0.0018346	0.0097498	10	4.4165	0.41738	0.81933	21	11.268	2.5647e-05	0.00022716
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS"	15	-8.0166	0.99999	1	8.0166	1.1413e-05	9.649e-05	9.1541	0.0054409	0.0253	4	0.86634	0.83225	0.99929	11	10.167	8.5261e-05	0.00066078
"KEGG_LIMONENE_AND_PINENE_DEGRADATION"	9	-8.5362	0.99999	1	8.5362	1.7134e-05	0.00012748	6.9705	0.026299	0.090587	1	-2.0032	0.96879	0.99929	8	8.1015	0.0011811	0.006865
"KEGG_NITROGEN_METABOLISM"	21	3.9875	0.16236	0.51185	-3.9875	0.83777	1	12.807	1.6375e-05	0.00019036	13	10.528	0.00047664	0.0088656	8	7.3302	0.00481	0.02418
"KEGG_SULFUR_METABOLISM"	12	-1.6586	0.89437	1	1.6586	0.11234	0.40139	5.8724	0.15631	0.33659	6	2.7962	0.5582	0.95237	6	5.5086	0.038266	0.15817
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS"	40	3.5005	0.30681	0.74112	-3.5005	0.69619	1	3.929	0.97646	0.99993	28	3.5599	0.96224	0.99929	12	1.7354	0.86139	0.989
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"	54	-12.308	1	1	12.308	1.4298e-11	4.4323e-10	16.591	2.8816e-06	4.4507e-05	12	6.2735	0.13946	0.5639	42	15.459	9.8499e-08	2.0356e-06
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450"	57	-13.719	1	1	13.719	7.816e-14	3.6344e-12	17.938	4.0415e-07	7.0194e-06	12	6.3868	0.12604	0.5492	45	16.89	9.0203e-09	2.7963e-07
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES"	42	-11.278	1	1	11.278	4.8964e-10	1.0119e-08	15.533	5.7271e-06	7.6089e-05	10	5.1946	0.25153	0.70408	32	14.892	3.0886e-08	7.1811e-07
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS"	20	-6.7131	0.99992	1	6.7131	0.00011084	0.00068721	6.7908	0.19517	0.39033	3	1.4608	0.66083	0.99929	17	6.752	0.07741	0.26179
"KEGG_ABC_TRANSPORTERS"	42	3.6274	0.28763	0.71332	-1.6116	0.36987	0.84932	10.517	0.052027	0.16128	25	9.0107	0.076181	0.39323	17	5.6038	0.22411	0.54181
"KEGG_RIBOSOME"	83	2.0909	0.72602	1	-2.0909	0.2841	0.71408	3.8393	0.99993	0.99993	49	3.0404	0.99913	0.99929	34	2.3487	0.98314	0.99741
"KEGG_RNA_DEGRADATION"	54	1.1279	0.75387	1	-1.1279	0.25663	0.67291	5.7932	0.93794	0.99993	30	4.2213	0.93207	0.99929	24	3.9704	0.72094	0.95407
"KEGG_RNA_POLYMERASE"	29	-0.75362	0.88612	1	0.75362	0.11778	0.40568	8.1814	0.14557	0.31854	16	4.5775	0.60946	0.99438	13	7.1412	0.022681	0.10289
"KEGG_BASAL_TRANSCRIPTION_FACTORS"	29	0.14796	0.78798	1	-0.14796	0.21705	0.62111	2.2711	0.98652	0.99993	16	1.1721	0.98248	0.99929	13	2.0917	0.82122	0.96676
"KEGG_DNA_REPLICATION"	36	0.11715	0.84218	1	-0.11715	0.16428	0.52682	4.0539	0.94084	0.99993	20	2.4754	0.96544	0.99929	16	3.3133	0.68516	0.95104
"KEGG_SPLICEOSOME"	120	2.9325	0.68995	1	-2.9325	0.32235	0.77073	7.5164	0.99845	0.99993	67	6.9394	0.97102	0.99929	53	3.5077	0.99069	0.99741
"KEGG_PROTEASOME"	39	-1.3914	0.9579	1	1.3914	0.044652	0.19315	5.7736	0.80204	0.97503	20	2.6999	0.95466	0.99929	19	5.5018	0.26552	0.60228
"KEGG_PROTEIN_EXPORT"	20	-4.5834	0.9974	1	4.5834	0.0031127	0.016542	4.7814	0.6073	0.81854	7	0.057288	0.96548	0.99929	13	5.8886	0.10087	0.32348
"KEGG_PPAR_SIGNALING_PATHWAY"	63	-7.1416	0.99999	1	7.1416	8.0314e-06	7.3743e-05	13.12	0.016685	0.059279	23	5.2957	0.67083	0.99929	40	12.45	0.00038773	0.00259
"KEGG_BASE_EXCISION_REPAIR"	33	-0.86855	0.90134	1	0.86855	0.10195	0.37181	5.2642	0.78962	0.96624	17	2.9161	0.89965	0.99929	16	4.5542	0.39866	0.74152
"KEGG_NUCLEOTIDE_EXCISION_REPAIR"	43	0.2383	0.83565	1	-0.2383	0.17208	0.53346	5.0305	0.92902	0.99993	23	3.744	0.90579	0.99929	20	3.3612	0.76512	0.95407
"KEGG_MISMATCH_REPAIR"	23	0.063675	0.7679	1	-0.063675	0.2394	0.65483	2.5322	0.96411	0.99993	12	2.0382	0.89532	0.99929	11	1.5328	0.85935	0.989
"KEGG_HOMOLOGOUS_RECOMBINATION"	25	0.30964	0.74473	1	-0.30964	0.26048	0.67291	1.2614	0.9945	0.99993	14	0.92356	0.98085	0.99929	11	0.85964	0.92709	0.99741
"KEGG_NON_HOMOLOGOUS_END_JOINING"	10	0.10641	0.69902	1	-0.10641	0.30657	0.7599	3.8189	0.46783	0.74372	5	2.7098	0.53067	0.95237	5	2.691	0.4136	0.74564
"KEGG_MAPK_SIGNALING_PATHWAY"	229	12.005	0.00093751	0.011625	-12.005	0.9991	1	17.063	0.63332	0.84747	149	17.004	0.20982	0.68059	80	5.6634	0.97761	0.99741
"KEGG_ERBB_SIGNALING_PATHWAY"	83	5.5906	0.16143	0.51185	-5.474	0.8288	1	11.999	0.20731	0.40588	50	10.946	0.12709	0.5492	33	5.5564	0.56702	0.86447
"KEGG_CALCIUM_SIGNALING_PATHWAY"	145	7.8267	0.056617	0.23933	-7.8267	0.94384	1	16.352	0.10161	0.2625	86	15.535	0.018672	0.15787	59	6.8787	0.71701	0.95407
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION"	197	15.057	2.1058e-06	4.8961e-05	-15.057	1	1	21.679	0.0011952	0.0065383	136	20.977	0.00024401	0.0050429	61	7.6369	0.59115	0.89393
"KEGG_CHEMOKINE_SIGNALING_PATHWAY"	160	9.211	0.022094	0.13698	-9.211	0.97827	1	13.029	0.85212	0.99993	107	12.06	0.72702	0.99929	53	5.5026	0.88159	0.99741
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"	68	4.8063	0.2132	0.57674	-4.8063	0.79071	1	8.6189	0.71883	0.92848	42	8.0891	0.54666	0.95237	26	3.6576	0.81097	0.96076
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"	167	4.0597	0.62737	1	-4.0599	0.38867	0.87099	18.854	0.016382	0.059279	90	15.738	0.024091	0.19482	77	10.752	0.13881	0.41644
"KEGG_CELL_CYCLE"	121	8.0009	0.032471	0.17256	-8.0009	0.96764	1	9.8468	0.95496	0.99993	84	9.4436	0.88734	0.99929	37	3.5778	0.94732	0.99741
"KEGG_OOCYTE_MEIOSIS"	100	2.8896	0.63333	1	-2.8896	0.37935	0.86048	11.351	0.56829	0.80078	61	8.5284	0.78394	0.99929	39	7.5098	0.26887	0.60249
"KEGG_P53_SIGNALING_PATHWAY"	62	6.4321	0.05369	0.23933	-6.4321	0.94572	1	7.9361	0.76901	0.95997	41	8.2881	0.47483	0.88319	21	2.0554	0.93841	0.99741
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS"	129	2.4377	0.79778	1	-2.4377	0.21334	0.62002	11.075	0.89078	0.99993	73	8.4125	0.90844	0.99929	56	7.2044	0.60534	0.90117
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT"	37	1.7065	0.59047	1	-1.7065	0.41454	0.87618	5.5526	0.82055	0.98845	20	4.5822	0.7379	0.99929	17	3.2216	0.73238	0.95407
"KEGG_REGULATION_OF_AUTOPHAGY"	20	1.4552	0.51533	1	-1.4552	0.49146	0.95801	4.5268	0.66117	0.87218	11	3.9946	0.5513	0.95237	9	2.3319	0.67607	0.95104
"KEGG_LYSOSOME"	115	8.1224	0.029567	0.16876	-8.1188	0.97093	1	8.6082	0.98295	0.99993	79	8.9522	0.89714	0.99929	36	2.1238	0.99283	0.99741
"KEGG_ENDOCYTOSIS"	167	8.6277	0.039895	0.19528	-8.6278	0.96134	1	16.131	0.27968	0.49544	104	15.048	0.10809	0.50264	63	6.9297	0.76409	0.95407
"KEGG_PEROXISOME"	75	-14.177	1	1	14.177	2.2649e-14	1.4042e-12	16.198	0.00027879	0.0022421	15	4.1367	0.66537	0.99929	60	16.042	1.6249e-06	2.3249e-05
"KEGG_MTOR_SIGNALING_PATHWAY"	47	3.3046	0.37761	0.83613	-3.3046	0.6309	1	7.8547	0.52851	0.79004	33	5.7297	0.79737	0.99929	14	5.595	0.15096	0.42922
"KEGG_APOPTOSIS"	78	7.4634	0.031495	0.1723	-7.4634	0.9683	1	11.119	0.3181	0.55297	52	10.693	0.19316	0.66533	26	4.1365	0.72761	0.95407
"KEGG_CARDIAC_MUSCLE_CONTRACTION"	56	4.9549	0.16648	0.51607	-4.9549	0.83594	1	8.5329	0.52238	0.79004	35	7.8092	0.40475	0.81933	21	3.8524	0.67397	0.95104
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION"	101	5.0987	0.27004	0.70066	-5.0987	0.7354	1	13.351	0.17202	0.3516	62	11.194	0.26509	0.72509	39	7.3707	0.2963	0.60249
"KEGG_WNT_SIGNALING_PATHWAY"	136	10.082	0.0028872	0.028265	-10.082	0.99697	1	17.771	0.010417	0.04212	91	16.088	0.013858	0.12274	45	8.0168	0.25143	0.57736
"KEGG_DORSO_VENTRAL_AXIS_FORMATION"	22	3.127	0.27397	0.70066	-3.127	0.72773	1	6.1051	0.36568	0.62401	17	4.5466	0.64482	0.99929	5	4.4227	0.11074	0.34496
"KEGG_NOTCH_SIGNALING_PATHWAY"	45	5.1761	0.097736	0.35645	-5.1761	0.90377	1	7.637	0.55161	0.79004	29	7.5106	0.36554	0.78643	16	2.6961	0.80226	0.96076
"KEGG_HEDGEHOG_SIGNALING_PATHWAY"	47	4.8347	0.1595	0.51185	-4.8347	0.84438	1	13.687	0.00064813	0.004157	28	11.878	0.002301	0.026749	19	7.1074	0.058154	0.2154
"KEGG_TGF_BETA_SIGNALING_PATHWAY"	78	10.927	0.0003756	0.005374	-10.927	0.99958	1	14.587	0.0091919	0.038857	53	15.068	0.00076451	0.01185	25	3.8278	0.76941	0.95407
"KEGG_AXON_GUIDANCE"	116	13.61	8.0219e-06	0.00014921	-13.61	0.99999	1	15.091	0.079785	0.22149	88	15.119	0.035958	0.25724	28	3.9144	0.81034	0.96076
"KEGG_VEGF_SIGNALING_PATHWAY"	64	2.3351	0.60395	1	-2.3351	0.40699	0.87618	9.1561	0.55049	0.79004	38	6.7705	0.73108	0.99929	26	6.1801	0.28383	0.60249
"KEGG_FOCAL_ADHESION"	184	22.679	8.8818e-16	1.652e-13	-22.675	1	1	27.914	8.1043e-12	7.537e-10	137	28.138	2.8555e-13	2.6556e-11	47	7.1912	0.46452	0.76462
"KEGG_ECM_RECEPTOR_INTERACTION"	80	20.181	2.3981e-14	2.2302e-12	-20.175	1	1	27.641	0	0	60	27.161	0	0	20	8.2362	0.011865	0.055172
"KEGG_CELL_ADHESION_MOLECULES_CAMS"	120	10.418	0.0023621	0.024408	-10.418	0.9976	1	16.69	0.011985	0.046441	78	16.303	0.0022136	0.026749	42	5.9935	0.63792	0.92698
"KEGG_ADHERENS_JUNCTION"	67	7.8768	0.017162	0.11823	-7.8768	0.98249	1	11.773	0.10063	0.2625	46	11.282	0.07057	0.38606	21	4.3316	0.56359	0.86447
"KEGG_TIGHT_JUNCTION"	112	8.6635	0.013599	0.10066	-8.3635	0.9816	1	16.065	0.011621	0.045991	72	14.804	0.011026	0.10794	40	7.0216	0.38012	0.71417
"KEGG_GAP_JUNCTION"	76	10.377	0.00090716	0.011625	-10.377	0.99901	1	14.917	0.0038194	0.018695	53	14.671	0.0015667	0.022416	23	4.8462	0.50485	0.81746
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES"	67	2.7991	0.55117	1	-2.7891	0.45603	0.92197	12.483	0.047641	0.15278	35	10.272	0.053622	0.34392	32	7.3201	0.18841	0.47358
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION"	60	-0.26049	0.91737	1	0.26049	0.089238	0.3458	3.8894	0.99842	0.99993	34	1.6547	0.99929	0.99929	26	4.0161	0.75015	0.95407
"KEGG_RENIN_ANGIOTENSIN_SYSTEM"	15	1.3903	0.48413	0.99513	-1.3903	0.51931	0.97725	6.9559	0.089371	0.23795	9	5.048	0.2411	0.68992	6	4.8157	0.085483	0.28393
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY"	78	5.0882	0.20521	0.56969	-5.0881	0.79906	1	8.5052	0.82826	0.98845	49	7.7667	0.73291	0.99929	29	3.853	0.84328	0.98647
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY"	54	7.4766	0.01407	0.10066	-7.4766	0.98542	1	8.1142	0.59187	0.81547	36	9.1456	0.20559	0.68059	18	1.1204	0.96982	0.99741
