"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"KEGG_GLYCEROLIPID_METABOLISM"	38	0.79101	0.11915	0.6139	-0.79101	0.88085	1	-1.0418	0.75443	0.90196	21	-0.34016	0.41409	0.7702	17	-1.1795	0.86929	0.99973
"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	51	-0.56236	0.51949	1	0.56236	0.48051	0.96059	-0.86926	0.69086	0.87215	24	-0.89248	0.58831	0.86846	27	-0.35325	0.67922	0.96206
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"	23	-1.4351	0.8574	1	1.4351	0.1426	0.53234	1.6081	0.050909	0.34653	8	1.0217	0.094541	0.52322	15	1.2451	0.15673	0.68758
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"	64	0.32107	0.17913	0.71379	-0.32107	0.82087	1	-0.94902	0.71242	0.87557	33	-0.88562	0.55879	0.86142	31	-0.44985	0.71912	0.9715
"KEGG_ETHER_LIPID_METABOLISM"	25	0.29994	0.24553	0.73618	-0.29994	0.75447	1	-1.5923	0.91241	0.97534	15	-1.6399	0.86152	0.93411	10	-0.50925	0.73124	0.9715
"KEGG_ARACHIDONIC_ACID_METABOLISM"	52	-0.55405	0.5115	1	0.55405	0.4885	0.96059	-2.8818	0.99312	1	29	-3.2983	0.99579	1	23	-0.62952	0.76467	0.98365
"KEGG_LINOLEIC_ACID_METABOLISM"	24	0.20543	0.27301	0.7694	-0.20543	0.72699	1	-1.7318	0.92873	0.98552	13	-1.1671	0.75072	0.93411	11	-1.2892	0.89764	0.99973
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM"	14	-0.074298	0.43558	0.96806	0.074298	0.56442	1	-1.5683	0.90174	0.97514	8	-1.5452	0.88428	0.93411	6	-0.61145	0.72305	0.9715
"KEGG_SPHINGOLIPID_METABOLISM"	34	-2.4193	0.97201	1	2.4193	0.027992	0.24793	0.35505	0.28084	0.60887	13	-1.0151	0.70303	0.93411	21	1.2505	0.16285	0.68758
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES"	24	-1.9997	0.94329	1	1.9997	0.056714	0.32965	0.40555	0.28563	0.60887	9	-0.79228	0.64653	0.91069	15	1.1267	0.18499	0.68758
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES"	13	-0.91822	0.77282	1	0.91822	0.22718	0.61523	0.15279	0.39963	0.67574	4	0.51166	0.23724	0.65772	9	-0.15748	0.59386	0.93247
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES"	15	-0.65472	0.66272	1	0.65472	0.33728	0.80428	-0.24122	0.53052	0.74039	7	-0.65611	0.63364	0.89967	8	0.28344	0.44864	0.8416
"KEGG_PYRUVATE_METABOLISM"	37	-0.63985	0.57846	1	0.63985	0.42154	0.91618	0.71894	0.1825	0.52533	18	-0.15533	0.36963	0.71515	19	1.1545	0.18305	0.68758
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM"	16	-1.3814	0.86191	1	1.3814	0.13809	0.53234	1.1258	0.11787	0.45676	7	-0.209	0.4546	0.78988	9	1.6854	0.072608	0.64473
"KEGG_PROPANOATE_METABOLISM"	31	0.25988	0.25749	0.74834	-0.25988	0.74251	1	1.3415	0.060194	0.34653	13	2.0177	0.0098485	0.14091	18	0.045755	0.54762	0.93171
"KEGG_BUTANOATE_METABOLISM"	33	0.95111	0.092265	0.55359	-0.95111	0.90773	1	-0.18976	0.46959	0.71593	19	0.29335	0.20046	0.62308	14	-0.63308	0.74275	0.97341
"KEGG_ONE_CARBON_POOL_BY_FOLATE"	17	-0.077146	0.4157	0.9665	0.077146	0.5843	1	2.2903	0.012079	0.27808	7	2.1611	0.0057207	0.11823	10	1.1781	0.17505	0.68758
"KEGG_RIBOFLAVIN_METABOLISM"	15	0.84124	0.13837	0.61837	-0.84124	0.86163	1	1.7448	0.040227	0.34653	8	1.9378	0.013588	0.18052	7	0.48254	0.35568	0.7794
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM"	22	-0.83506	0.70484	1	0.83506	0.29516	0.73199	-0.082682	0.44449	0.70783	10	-0.98191	0.71198	0.93411	12	0.7844	0.26764	0.71115
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"	16	0.86921	0.13531	0.61837	-0.86921	0.86469	1	1.0148	0.13989	0.46624	8	1.823	0.018008	0.2233	8	-0.38786	0.68578	0.96206
"KEGG_FOLATE_BIOSYNTHESIS"	10	-0.82514	0.74022	1	0.82514	0.25978	0.67199	-0.64295	0.69865	0.87215	4	-0.72025	0.6812	0.93411	6	-0.24197	0.60324	0.93247
"KEGG_RETINOL_METABOLISM"	51	0.47849	0.17046	0.71379	-0.47849	0.82954	1	0.48241	0.23961	0.5788	26	0.70684	0.10881	0.54552	25	-0.03181	0.58653	0.93247
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM"	31	0.4459	0.19964	0.71379	-0.4459	0.80036	1	1.5765	0.037441	0.34653	15	1.6337	0.023186	0.22821	16	0.61265	0.32696	0.7794
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS"	15	-2.2912	0.98073	1	2.2912	0.019271	0.23234	1.0629	0.13102	0.46624	3	0.27584	0.32064	0.7109	12	1.0505	0.19643	0.68758
"KEGG_LIMONENE_AND_PINENE_DEGRADATION"	9	1.8877	0.01396	0.18546	-1.8877	0.98604	1	0.62189	0.22323	0.56833	6	1.4358	0.042039	0.3244	3	-0.95344	0.81728	0.98365
"KEGG_NITROGEN_METABOLISM"	21	0.97542	0.099276	0.57704	-0.97542	0.90072	1	0.30918	0.32076	0.61222	12	1.0776	0.077655	0.46593	9	-0.77206	0.78885	0.98365
"KEGG_SULFUR_METABOLISM"	12	-0.56616	0.62782	1	0.56616	0.37218	0.85464	-0.97216	0.77588	0.90196	5	-0.9597	0.75238	0.93411	7	-0.46176	0.68976	0.96206
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS"	40	-4.2295	0.99988	1	4.2295	0.0001246	0.0077249	2.2391	0.0087328	0.24623	10	-0.27306	0.44913	0.78809	30	2.7432	0.00924	0.28644
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"	55	0.22314	0.23972	0.73618	-0.22314	0.76028	1	1.4669	0.044567	0.34653	31	0.4014	0.14798	0.57048	24	1.7644	0.077923	0.64473
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450"	57	1.2073	0.045942	0.47473	-1.2073	0.95406	1	1.3127	0.059537	0.34653	33	1.3667	0.019582	0.22764	24	0.42049	0.41066	0.80403
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES"	42	-0.63712	0.5556	1	0.63712	0.4444	0.93929	1.1685	0.082055	0.3716	18	1.1326	0.05612	0.38661	24	0.56487	0.36165	0.7794
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS"	20	-0.83422	0.69179	1	0.83422	0.30821	0.7445	-1.3466	0.85404	0.93995	9	-1.7416	0.8974	0.93411	11	-0.24043	0.62667	0.94764
"KEGG_ABC_TRANSPORTERS"	43	-1.9042	0.9242	1	1.9042	0.075796	0.39161	1.3175	0.068163	0.35772	17	0.2933	0.2186	0.65392	26	1.4571	0.11742	0.67216
"KEGG_RIBOSOME"	83	4.101	1.2649e-06	7.8423e-05	-4.101	1	1	1.6386	0.027155	0.33672	57	2.4653	0.00042293	0.015733	26	-0.72246	0.77818	0.98365
"KEGG_RNA_DEGRADATION"	55	-0.39558	0.45347	0.98076	0.39558	0.54653	1	0.5928	0.1935	0.52758	28	-0.11957	0.2987	0.70328	27	0.96784	0.23289	0.68758
"KEGG_RNA_POLYMERASE"	29	-1.9866	0.94553	1	1.9866	0.054469	0.32681	1.2649	0.083909	0.3716	7	1.4313	0.037104	0.3244	22	0.64492	0.33649	0.7794
"KEGG_BASAL_TRANSCRIPTION_FACTORS"	30	-0.10401	0.39253	0.93604	0.10401	0.60747	1	-1.4543	0.88999	0.96877	17	-1.8395	0.90933	0.93411	13	-0.10566	0.58444	0.93247
"KEGG_DNA_REPLICATION"	36	-2.3914	0.97542	1	2.3914	0.024581	0.23234	0.92524	0.13337	0.46624	13	-0.63655	0.56965	0.86142	23	1.6361	0.090182	0.64473
"KEGG_SPLICEOSOME"	120	-2.833	0.97718	1	2.833	0.022824	0.23234	0.41878	0.19367	0.52758	45	-0.45356	0.37758	0.71515	75	0.88105	0.26741	0.71115
"KEGG_PROTEASOME"	40	-2.4522	0.97514	1	2.4522	0.024859	0.23234	-0.024652	0.3983	0.67574	11	-0.38228	0.49827	0.83017	29	0.20649	0.49539	0.89459
"KEGG_PROTEIN_EXPORT"	20	-0.040476	0.38682	0.93439	0.040476	0.61318	1	1.1976	0.081799	0.3716	11	0.70493	0.14658	0.57048	9	1.006	0.20269	0.68758
"KEGG_PPAR_SIGNALING_PATHWAY"	66	0.87466	0.070698	0.55359	-0.87466	0.9293	1	1.8649	0.020754	0.27808	34	2.0153	0.0043825	0.10189	32	0.60095	0.36725	0.7794
"KEGG_BASE_EXCISION_REPAIR"	33	-3.3925	0.99758	1	3.3925	0.0024189	0.074987	3.2183	0.00057018	0.053027	13	-0.55495	0.53919	0.84381	20	4.5814	3.3653e-05	0.0062594
"KEGG_NUCLEOTIDE_EXCISION_REPAIR"	43	-1.8035	0.90867	1	1.8035	0.091329	0.44713	0.83519	0.15253	0.48085	21	-1.4121	0.79274	0.93411	22	2.5473	0.014996	0.28687
"KEGG_MISMATCH_REPAIR"	23	-1.3629	0.84073	1	1.3629	0.15927	0.55893	1.8441	0.031946	0.34653	9	0.75931	0.14003	0.56986	14	1.7549	0.061639	0.64473
"KEGG_HOMOLOGOUS_RECOMBINATION"	26	-1.2614	0.79766	1	1.2614	0.20234	0.58856	0.20577	0.32227	0.61222	13	-1.3182	0.79374	0.93411	13	1.6092	0.09225	0.64473
"KEGG_NON_HOMOLOGOUS_END_JOINING"	11	-0.11963	0.46083	0.98499	0.11963	0.53917	1	0.91286	0.14558	0.46686	6	0.21258	0.30275	0.7039	5	1.1211	0.17694	0.68758
"KEGG_MAPK_SIGNALING_PATHWAY"	247	-1.2087	0.54251	1	1.2087	0.45749	0.94549	-0.76642	0.54615	0.75248	120	-1.5586	0.5695	0.86142	127	0.44621	0.45247	0.8416
"KEGG_ERBB_SIGNALING_PATHWAY"	85	-2.9331	0.98927	1	2.9331	0.010728	0.18139	0.13484	0.28898	0.60887	33	-1.1308	0.65119	0.91069	52	1.0732	0.22805	0.68758
"KEGG_CALCIUM_SIGNALING_PATHWAY"	163	1.398	0.010884	0.17478	-1.398	0.98912	1	-2.9993	0.98972	1	98	-2.3711	0.86264	0.93411	65	-1.8382	0.97202	0.99973
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION"	214	0.49011	0.073513	0.55359	-0.49011	0.92649	1	-0.070694	0.28987	0.60887	119	-1.1723	0.44856	0.78809	95	1.2059	0.22654	0.68758
"KEGG_CHEMOKINE_SIGNALING_PATHWAY"	169	-1.2944	0.64615	1	1.2944	0.35385	0.8227	0.43588	0.18358	0.52533	81	-0.69332	0.35127	0.71515	88	1.2692	0.20133	0.68758
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"	71	-0.21361	0.36561	0.92237	0.21361	0.63439	1	-1.358	0.80361	0.91701	35	-1.1267	0.63311	0.89967	36	-0.7962	0.81977	0.98365
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"	219	1.6117	0.0042919	0.079829	-1.6117	0.99571	1	-5.2114	0.99999	1	130	-3.8966	0.99379	1	89	-3.4655	0.99973	0.99973
"KEGG_CELL_CYCLE"	122	2.6039	0.00042944	0.011411	-2.6039	0.99957	1	0.44272	0.19855	0.52758	73	1.2666	0.0090602	0.14091	49	-0.84735	0.83078	0.98365
"KEGG_OOCYTE_MEIOSIS"	104	0.56676	0.090342	0.55359	-0.56676	0.90966	1	0.82562	0.11298	0.44712	59	0.21438	0.13556	0.56986	45	1.0097	0.22711	0.68758
"KEGG_P53_SIGNALING_PATHWAY"	65	1.722	0.011442	0.17478	-1.722	0.98856	1	0.29781	0.26452	0.59278	37	1.5004	0.0093045	0.14091	28	-1.271	0.91306	0.99973
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS"	131	0.080073	0.20493	0.71379	-0.080073	0.79507	1	1.3468	0.044209	0.34653	71	0.30045	0.09033	0.52322	60	1.6633	0.10052	0.64473
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT"	37	-1.1153	0.75005	1	1.1153	0.24995	0.66414	-0.017866	0.42309	0.69642	14	0.02655	0.31777	0.7109	23	-0.043375	0.57464	0.93247
"KEGG_REGULATION_OF_AUTOPHAGY"	20	-0.57985	0.59802	1	0.57985	0.40198	0.90082	1.2384	0.076031	0.36947	8	0.88581	0.11892	0.56717	12	0.8755	0.24189	0.70099
"KEGG_LYSOSOME"	117	-2.6167	0.95891	1	2.6167	0.04109	0.28306	-0.8527	0.64526	0.83346	43	-1.3988	0.7177	0.93411	74	-0.005907	0.59643	0.93247
"KEGG_ENDOCYTOSIS"	170	-3.013	0.98368	1	3.013	0.016322	0.21686	-0.43989	0.46092	0.70992	71	-2.0372	0.83464	0.93411	99	1.1488	0.22326	0.68758
"KEGG_PEROXISOME"	76	-0.083464	0.30105	0.80942	0.083464	0.69895	1	0.11083	0.31657	0.61222	35	0.30416	0.163	0.58305	41	-0.13013	0.61162	0.93247
"KEGG_MTOR_SIGNALING_PATHWAY"	48	-1.5147	0.84536	1	1.5147	0.15464	0.55532	0.00038533	0.38778	0.67373	16	0.24721	0.22852	0.65392	32	-0.17433	0.64615	0.94856
"KEGG_APOPTOSIS"	83	-1.741	0.8749	1	1.741	0.1251	0.50582	0.38715	0.22611	0.56833	37	-0.77533	0.49097	0.83017	46	1.2154	0.18727	0.68758
"KEGG_CARDIAC_MUSCLE_CONTRACTION"	68	3.4666	3.5933e-05	0.0013367	-3.4666	0.99996	1	0.25722	0.31272	0.61222	43	1.9727	0.0035777	0.095065	25	-2.163	0.98502	0.99973
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION"	106	0.68997	0.080155	0.55359	-0.68997	0.91984	1	-0.85572	0.67914	0.87117	59	-0.49799	0.33779	0.71515	47	-0.72714	0.79961	0.98365
"KEGG_WNT_SIGNALING_PATHWAY"	143	-1.5983	0.77177	1	1.5983	0.22823	0.61523	-0.029756	0.32257	0.61222	74	-2.1079	0.84604	0.93411	69	2.1401	0.043453	0.5773
"KEGG_DORSO_VENTRAL_AXIS_FORMATION"	23	3.0015e-05	0.36404	0.92237	-3.0015e-05	0.63596	1	0.17437	0.37479	0.66767	11	0.48358	0.20099	0.62308	12	-0.22159	0.6051	0.93247
"KEGG_NOTCH_SIGNALING_PATHWAY"	46	-1.2884	0.79748	1	1.2884	0.20252	0.58856	1.3642	0.058501	0.34653	19	0.77077	0.095642	0.52322	27	1.134	0.18952	0.68758
"KEGG_HEDGEHOG_SIGNALING_PATHWAY"	53	-0.60317	0.54667	1	0.60317	0.45333	0.94549	-0.29549	0.49203	0.72648	26	-0.88478	0.61768	0.89757	27	0.45424	0.39557	0.79885
"KEGG_TGF_BETA_SIGNALING_PATHWAY"	83	-1.4796	0.8127	1	1.4796	0.1873	0.58856	-1.3882	0.81906	0.92513	37	-1.8887	0.86814	0.93411	46	-0.17073	0.64218	0.94856
"KEGG_AXON_GUIDANCE"	124	-1.8732	0.85791	1	1.8732	0.14209	0.53234	-0.080966	0.334	0.62752	55	-1.398	0.70244	0.93411	69	1.1396	0.21245	0.68758
"KEGG_VEGF_SIGNALING_PATHWAY"	69	0.10743	0.26737	0.76508	-0.10743	0.73263	1	-2.5584	0.98181	1	35	-1.8951	0.85318	0.93411	34	-1.7219	0.95399	0.99973
"KEGG_FOCAL_ADHESION"	193	-0.66458	0.36696	0.92237	0.66458	0.63304	1	-0.2863	0.3805	0.66767	90	-0.085287	0.13244	0.56986	103	-0.31218	0.73007	0.9715
"KEGG_ECM_RECEPTOR_INTERACTION"	82	0.23709	0.18572	0.71379	-0.23709	0.81428	1	-1.4669	0.84517	0.93647	44	-1.5163	0.76996	0.93411	38	-0.52319	0.74314	0.97341
"KEGG_CELL_ADHESION_MOLECULES_CAMS"	122	0.37155	0.12046	0.6139	-0.37155	0.87954	1	-0.9806	0.68801	0.87215	66	-0.6694	0.37571	0.71515	56	-0.72066	0.8164	0.98365
"KEGG_ADHERENS_JUNCTION"	67	-1.483	0.81302	1	1.483	0.18698	0.58856	-0.26786	0.44525	0.70783	30	-1.2185	0.68882	0.93411	37	0.73675	0.32571	0.7794
"KEGG_TIGHT_JUNCTION"	121	-1.7151	0.83161	1	1.7151	0.16839	0.55928	-1.2	0.76614	0.90196	59	-2.362	0.91402	0.93411	62	0.62774	0.36875	0.7794
"KEGG_GAP_JUNCTION"	80	-0.49877	0.42759	0.96806	0.49877	0.57241	1	0.53438	0.19595	0.52758	39	0.134	0.17689	0.58775	41	0.61576	0.34829	0.7794
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES"	66	-2.4379	0.96467	1	2.4379	0.03533	0.26799	-0.40961	0.52512	0.74039	24	-1.3661	0.75296	0.93411	42	0.5192	0.38773	0.79497
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION"	61	-1.8043	0.9026	1	1.8043	0.097401	0.45292	0.55779	0.20243	0.52855	26	-0.57349	0.49989	0.83017	35	1.2307	0.18649	0.68758
"KEGG_RENIN_ANGIOTENSIN_SYSTEM"	16	-0.28971	0.51052	1	0.28971	0.48948	0.96059	0.022457	0.44302	0.70783	8	-0.010691	0.38064	0.71515	8	0.04245	0.53624	0.92353
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY"	80	-0.66258	0.49241	1	0.66258	0.50759	0.97333	-0.025865	0.37728	0.66767	36	0.24561	0.15638	0.58174	44	-0.25704	0.67247	0.96206
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY"	56	0.30782	0.20425	0.71379	-0.30782	0.79575	1	-0.41404	0.52546	0.74039	29	-0.083776	0.29556	0.70328	27	-0.50947	0.72802	0.9715
